Location,Address,Longitude,Latitude,Meal Times,Dates of Service
Westside Rec. Center,"1001 NW 34th St, Gainesville, FL, 32605, USA",-82.37006,29.66148,B (8:00-8:30); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/04/25
Westwood Middle School,"4601 SW 75th St, Gainesville, FL, 32608, USA",-82.42040,29.61153,B (7:45-8:30); L (11:30-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Wiles Elementary,"355 NW 6th Ave, Micanopy, FL, 32667, USA",-82.28462,29.50702,B (7:30-8:00); L (11:30-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Wilie Mae Stokes Community Center,"16671 SW 137th Ave, Archer, FL, 32618, USA",-82.51983,29.52755,B (8:30-9:00); L (11:15-11:45),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Williams Temple Church of God in Christ,"618 NW 6th St, Gainesville, FL, 32601, USA",-82.33089,29.65670,B (9:00-9:30); L (12:00-12:30),07/21/25-07/25/25 (M-F)
Archer Community Center,"18100 Douglass St, High Springs, FL, 32643, USA",-82.59113,29.82109,G&G (10:30-11:15),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Catherine Taylor Park,"11411 N State Road 121, Gainesville, FL, 32653, USA",-82.35731,29.75859,G&G (10:30-11:15),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Faith Mission Baptist Church,"15818 NW 140th St, Alachua, FL, 32615, USA",-82.49468,29.80047,G&G (10:30-11:15),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Hathcock Community Center,"2905 SE 21st Ave, Gainesville, FL, 32641, USA",-82.28651,29.63214,G&G (10:30-11:00),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Hawthorne Stop 1 – Field across from 5933 215th Street,"22820 SE Hawthorne Rd, Hawthorne, FL, 32640, USA",-82.07894,29.59661,G&G (9:00-9:25),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Hawthorne Stop 2 – 22820 SE Hawthorne Rd,"22500 SE 71st Ave, Hawthorne, FL, 32640, USA",-82.08324,29.58897,G&G (9:45-10:05),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Hawthorne Stop 3 – New Generation Church of Hawthorne,"25515 NW 6th Ave, Newberry, FL, 32669, USA",-82.61381,29.65169,G&G (10:20-10:40),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Hawthorne Stop 4 – Island Grove,"100 NW 146th Dr, Newberry, FL, 32669, USA",-82.49975,29.65443,G&G (10:55-11:15),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Newberry Stop 1 – MLK Community Center,"14450 NE 148th Ave, Waldo, FL, 32694, USA",-82.16907,29.79174,G&G (10:30-11:00),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Newberry Stop 2 – Brookside,"SE 219th Ave & SE 201st Ter, Hawthorne, FL, 32640, USA",-82.10735,29.45347,G&G (11:20-11:50),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
Waldo City Square,"5933 SE 215th St, Hawthorne, FL, 32640, USA",-82.09278,29.59905,G&G (10:30-11:15),06/09/25-06/13/25 (M-TH); 06/16/25-06/20/25 (M-F); 06/23/25-06/27/25 (M-TH); 06/30/25-07/04/25 (M-W); 07/07/25-07/25/25 (M-TH)
